Date,Name,Symbol,Price,Market Cap,Circulating Supply
Historical Snapshot - 13 December 2020,Tether,USDT,$1,"$19,834,034,804.91","19,834,995,609"
Historical Snapshot - 13 December 2020,Litecoin,LTC,$82.00,"$5,418,690,204.45","66,081,073"
Historical Snapshot - 13 December 2020,Chainlink,LINK,$12.93,"$5,128,336,927.56","396,509,556"
Historical Snapshot - 13 December 2020,Bitcoin Cash,BCH,$275.35,"$5,121,143,076.24","18,598,769"
Historical Snapshot - 13 December 2020,Cardano,ADA,$0.154,"$4,790,208,946.24","31,112,484,646"
Historical Snapshot - 13 December 2020,Polkadot,DOT,$4.89,"$4,339,944,731.18","887,294,345"
Historical Snapshot - 13 December 2020,Binance Coin,BNB,$29.10,"$4,202,475,238.85","144,406,561"
Historical Snapshot - 13 December 2020,Stellar,XLM,$0.1749,"$3,808,388,514.52","21,780,693,153"
Historical Snapshot - 13 December 2020,USD Coin,USDC,$0.9999,"$3,241,732,105.98","3,242,096,243"
Historical Snapshot - 13 December 2020,Bitcoin SV,BSV,$168.60,"$3,135,308,111.70","18,596,645"
Historical Snapshot - 13 December 2020,Monero,XMR,$151.91,"$2,701,686,452.85","17,784,792"
Historical Snapshot - 13 December 2020,EOS,EOS,$2.85,"$2,673,149,023.90","938,579,629"
Historical Snapshot - 13 December 2020,NEM,XEM,$0.2527,"$2,274,566,033.28","8,999,999,999"
Historical Snapshot - 13 December 2020,Wrapped Bitcoin,WBTC,"$19,163.82","$2,204,055,977.59","115,011"
Historical Snapshot - 13 December 2020,TRON,TRX,$0.02918,"$2,091,318,238.66","71,659,657,369"
Historical Snapshot - 13 December 2020,Tezos,XTZ,$2.23,"$1,678,033,597.08","753,232,765"
Historical Snapshot - 13 December 2020,UNUS SED LEO,LEO,$1.36,"$1,355,210,085.80","999,498,893"
Historical Snapshot - 06 December 2020,Bitcoin,BTC,"$19,345.12","$359,123,541,247.06","18,564,037"
Historical Snapshot - 06 December 2020,Ethereum,ETH,$601.91,"$68,452,719,868.01","113,726,030"
Historical Snapshot - 06 December 2020,XRP,XRP,$0.6199,"$28,100,510,377.08","45,334,295,892"
Historical Snapshot - 06 December 2020,Tether,USDT,$1.00,"$19,683,467,750.66","19,659,810,789"
Historical Snapshot - 06 December 2020,Litecoin,LTC,$83.56,"$5,517,178,550.56","66,030,236"
Historical Snapshot - 06 December 2020,Chainlink,LINK,$13.49,"$5,336,371,894.38","395,509,556"
Historical Snapshot - 06 December 2020,Bitcoin Cash,BCH,$286.36,"$5,324,074,006.72","18,592,494"
Historical Snapshot - 06 December 2020,Cardano,ADA,$0.1589,"$4,942,739,300.77","31,112,484,646"
Historical Snapshot - 06 December 2020,Polkadot,DOT,$5.14,"$4,547,051,375.88","885,352,072"
Historical Snapshot - 06 December 2020,Binance Coin,BNB,$29.54,"$4,265,885,902.99","144,406,561"
Historical Snapshot - 06 December 2020,Stellar,XLM,$0.1756,"$3,814,433,496.66","21,718,544,971"
Historical Snapshot - 06 December 2020,Bitcoin SV,BSV,$178.55,"$3,319,363,315.52","18,590,427"
Historical Snapshot - 06 December 2020,USD Coin,USDC,$1.00,"$3,073,447,381.02","3,072,618,726"
Historical Snapshot - 06 December 2020,EOS,EOS,$3.00,"$2,811,548,431.18","938,383,887"
Historical Snapshot - 06 December 2020,Monero,XMR,$134.65,"$2,393,871,508.29","17,778,400"
Historical Snapshot - 06 December 2020,Wrapped Bitcoin,WBTC,"$19,383.04","$2,334,556,265.72","120,443"
Historical Snapshot - 06 December 2020,NEM,XEM,$0.249,"$2,240,616,067.91","8,999,999,999"
Historical Snapshot - 06 December 2020,TRON,TRX,$0.03093,"$2,216,094,907.47","71,659,657,369"
